addresses_roadtype_name,addresses_end_street_number,values_attribute_name,estimated_dates,addresses_road_name,values_category,addresses_zip_code,secondary_filters_id,values_value,addresses_town,geo_epgs_4326_y,geo_epgs_4326_x,secondary_filters_name,secondary_filters_tree,start_date,addresses_district_name,end_date,geo_epgs_25831_x,addresses_start_street_number,register_id,institution_id,addresses_main_address,addresses_district_id,addresses_roadtype_id,addresses_type,addresses_neighborhood_id,_id,name,addresses_road_id,created,geo_epgs_25831_y,institution_name,modified,secondary_filters_asia_id,secondary_filters_fullpath,values_description,values_id,addresses_neighborhood_name,values_outstanding,values_attribute_id
,,,,C Mare de Déu de Port,,8038,,,BARCELONA,2.143753563396819,41.35737514116946,,,,Sants-Montjuïc,,428378.3838331724,221,﻿99400601854,,True,3,,,13,1,"Zona de Càrrega i Descàrrega * C Mare de Déu de Port, 221",230601,2018-07-10T16:09:06,4578783.95564586,,2022-09-17T10:29:14.130761,,,,,la Marina de Port,,
,,,,Av Mare de Déu de Montserrat,,8041,,,BARCELONA,2.176348471576847,41.42464033549186,,,,Horta-Guinardó,,431175.828091303,286,﻿99400601855,,True,7,,,35,2,"Zona de Càrrega i Descàrrega * Av Mare de Déu de Montserrat, 286",365702,2018-07-10T16:09:06,4586225.225624279,,2022-09-17T10:29:13.456322,,,,,el Guinardó,,
,,,,C Amigó,,8021,,,BARCELONA,2.1423804832158453,41.39697880064171,,,,Sarrià-Sant Gervasi,,428307.03559013736,68,﻿99400601867,,True,5,,,26,3,"Zona de Càrrega i Descàrrega * C Amigó, 68",13909,2018-07-10T16:09:06,4583181.824702035,,2022-09-17T10:29:26.602724,,,,,Sant Gervasi - Galvany,,
,,,,C Sor Eulàlia d'Anzizu,,8034,,,BARCELONA,2.1129272397527523,41.39031144439753,,,,Les Corts,,425837.27974658017,41,﻿99400601669,,True,4,,,21,4,"Zona de Càrrega i Descàrrega * C Sor Eulàlia d'Anzizu, 41",328003,2018-07-10T16:09:05,4582466.414148673,,2022-09-17T10:26:39.812146,,,,,Pedralbes,,
,,,,C Vila i Vilà,,8004,,,BARCELONA,2.1670111187379253,41.374869086935135,,,,Sants-Montjuïc,,430342.4653238814,103,﻿99400601671,,True,3,,,11,5,"Zona de Càrrega i Descàrrega * C Vila i Vilà, 103",361009,2018-07-10T16:09:05,4580707.149276413,,2022-09-17T10:26:42.144114,,,,,el Poble-sec,,
,,,,Av Paral·lel,,8015,,,BARCELONA,2.164291572056782,41.37508916375461,,,,Eixample,,430115.2805276219,106,﻿99400601672,,True,2,,,10,6,"Zona de Càrrega i Descàrrega * Av Paral·lel, 106",198804,2018-07-10T16:09:05,4580733.770969634,,2022-09-17T10:26:45.206015,,,,,Sant Antoni,,
,,,,C Simancas,,8042,,,BARCELONA,2.1731750885709493,41.44544915009707,,,,Nou Barris,,430932.7219771007,84,﻿99400601676,,True,8,,,50,7,"Zona de Càrrega i Descàrrega * C Simancas, 84",94900,2018-07-10T16:09:05,4588537.934043902,,2022-09-17T10:26:48.619839,,,,,les Roquetes,,
,,,,C Can Bruixa,,8028,,,BARCELONA,2.13180027090797,41.38394603407653,,,,Les Corts,,427408.07363568456,20,﻿99400601677,,True,4,,,19,8,"Zona de Càrrega i Descàrrega * C Can Bruixa, 20",58554,2018-07-10T16:09:05,4581743.753541196,,2022-09-17T10:26:48.796742,,,,,les Corts,,
,,,,Av República Argentina,,8023,,,BARCELONA,2.148337692905674,41.4075110974965,,,,Gràcia,,428816.5303930395,10,﻿99400601684,,True,6,,,28,9,"Zona de Càrrega i Descàrrega * Av República Argentina, 10",279600,2018-07-10T16:09:05,4584346.195453634,,2022-09-17T10:26:52.435096,,,,,Vallcarca i els Penitents,,
,,,,C Marquès de Sentmenat,,8014,,,BARCELONA,2.135495983624154,41.384826376522824,,,,Les Corts,,427718.05760188575,20,﻿99400601688,,True,4,,,19,10,"Zona de Càrrega i Descàrrega * C Marquès de Sentmenat, 20",199909,2018-07-10T16:09:05,4581838.398683993,,2022-09-17T10:26:54.924744,,,,,les Corts,,
