route_label,route_index,route_option_id,distance_km,optimized_route_time_min,optimized_route_cost,traffic_density_index,estimated_co2_kgco2e,delivery_efficiency_score,route_reliability_index,delivery_option_score,score_rank,score_category
Route option 418,417,418,2.910804616170668,15.33,85.07,0.2160367996260517,2.037514397828059,0.2449,0.863,92.62338439111666,1,Excellent
Route option 343,342,343,4.92882069001327,13.78,76.91,0.2147047918201936,3.4500917940093188,0.203,0.875,91.96985124002236,2,Excellent
Route option 132,131,132,1.6177684788121929,5.61,31.61,0.3406270526643055,1.1324107944656958,0.4539,0.796,91.11788189784889,3,Excellent
Route option 65,64,65,3.5458723001591523,4.9,38.49,0.2906158024517487,2.4820511223245787,0.339,0.809,90.72613524505671,4,Excellent
Route option 422,421,422,2.1442527200811097,4.12,46.86,0.3121323467061843,1.5009409307227366,0.5859,0.756,90.375483011038,5,Excellent
Route option 250,249,250,6.631716855918775,11.43,118.36,0.2575846547706574,4.6420905412846425,0.3218,0.843,89.82906749497405,6,Very good
Route option 693,692,693,1.486267235263946,2.9,26.65,0.2109865504660626,1.0403621301296015,0.2564,0.723,89.71590897488102,7,Very good
Route option 654,653,654,3.565395989186148,11.42,100.05,0.2126828362988536,2.495717377101773,0.2415,0.765,89.11618994613491,8,Very good
Route option 715,714,715,1.0663276600579397,1.43,16.7,0.4709999233716058,0.7464114726561805,1.2346,0.669,88.9472128255715,9,Very good
Route option 972,971,972,8.988731509647959,11.82,122.48,0.2085378302790673,6.291961256132839,0.234,0.833,88.50200016268658,10,Very good
